ind.W H-Gerät      HP      HQ      HB      PQ
48.43  12.399  18.061  21.036  23.740   3.107
40.06  14.241  19.392  22.114  25.583   2.845
39.46  14.373  19.483  22.186  25.715   2.824
47.20  12.670  18.263  21.203  24.011   3.071
56.15  10.699  16.759  19.925  22.041   3.308
58.08  10.275  16.424  19.633  21.616   3.353
51.23  11.782  17.596  20.644  23.124   3.183
41.88  13.841  19.111  21.893  25.182   2.906
38.64  14.554  19.607  22.282  25.896   2.795
44.48  13.268  18.701  21.563  24.610   2.989
42.08  13.797  19.080  21.868  25.138   2.913
38.64  14.554  19.607  22.282  25.896   2.795
44.48  13.268  18.701  21.563  24.610   2.989
54.03  11.166  17.123  20.239  22.508   3.256
58.52  10.178  16.347  19.566  21.519   3.363
53.81  11.215  17.160  20.272  22.556   3.250
44.24  13.321  18.739  21.594  24.663   2.982
38.60  14.563  19.613  22.286  25.904   2.793
42.08  13.797  19.080  21.868  25.138   2.913
51.48  11.727  17.554  20.608  23.069   3.190
58.16  10.257  16.410  19.621  21.599   3.355
55.97  10.739  16.790  19.952  22.081   3.303
46.93  12.729  18.307  21.239  24.071   3.063
39.35  14.398  19.500  22.199  25.739   2.820
40.20  14.211  19.370  22.098  25.552   2.849
48.70  12.339  18.017  20.998  23.681   3.114
57.03  10.506  16.606  19.793  21.847   3.329
